Study	WeightM	WeightF	LengthM	LengthF	WidthM	WidthF	Horn	BBnumber	BBweight	Tot.invest
1	0.0546	0.0489	7.1	6.4	3.8	3.7	0.91	4	1.3054	5.2216
1	0.0389	0.0455	6.2	6.4	3.6	3.6	0.61	9	1.8637	16.7733
1	0.044	0.0374	6.7	6	3.7	3.3	0.88	10	1.4821	14.821
1	0.0386	0.0526	6.1	7.1	3.4	4.1	0.64	6	2.0156	12.0936
1	0.0492	0.0466	6.9	6.8	3.7	3.8	0.79	9	1.3871	12.4839
1	0.0378	0.0488	6.1	6.8	3.2	3.7	0.66	4	1.9587	7.8348
1	0.0499	0.0459	6.7	6.7	3.7	3.6	0.98	8	1.5812	12.6496
1	0.0361	0.0487	6.4	6.8	3.4	3.8	0.74	3	2.1686	6.5058
1	0.0518	0.0451	7.1	6.4	3.9	3.5	1.08	11	1.3458	14.8038
1	0.0366	0.0397	6.3	6.1	3.3	3.3	0.68	7	1.7659	12.3613
1	0.0466	0.0439	6.9	6.4	3.5	3.5	0.76	7	1.5715	11.0005
1	0.0453	0.0496	6.5	6.5	3.5	3.5	0.71	5	1.6676	8.338
1	0.0451	0.0456	6.4	6.6	3.4	3.7	0.81	8	1.6074	12.8592
1	0.0488	0.0462	6.8	6.6	3.7	3.6	0.84	7	1.5127	10.5889
1	0.0489	0.0512	6.9	6.9	3.8	4	0.89	8	1.6821	13.4568
1	0.0357	0.0465	6	6.7	3.2	3.8	0.69	4	1.9584	7.8336
1	0.0429	0.0375	6.8	6.2	3.6	3.3	0.78	8	1.5341	12.2728
1	0.0473	0.0392	6.4	6.3	3.4	3.3	0.81	12	1.4628	17.5536
1	0.0446	0.0429	6.3	6.5	3.3	3.4	0.82	8	1.6212	12.9696
1	0.0487	0.0465	6.4	6.7	3.3	3.6	0.86	7	1.5274	10.6918
1	0.0459	0.0478	6.7	6.8	3.7	3.7	0.79	7	1.6492	11.5444
1	0.0403	0.0463	6.3	6.7	3.3	3.7	0.75	5	1.8695	9.3475
1	0.0341	0.0387	6.1	6.2	3.4	3.3	0.67	6	1.7024	10.2144
1	0.0439	0.0386	6.4	6.3	3.2	3.3	0.8	10	1.7402	17.402
1	0.0533	0.0503	7.1	7	3.9	3.9	0.96	8	1.6829	13.4632
1	0.0519	0.0478	7	6.8	4	3.8	0.99	10	1.6706	16.706
1	0.0488	0.0386	6.9	6.3	3.8	3.4	0.87	14	1.2871	18.0194
1	0.0386	0.0456	6.2	6.7	3.4	3.6	0.67	5	1.9508	9.754
1	0.0417	0.0438	6.4	6.6	3.5	3.6	0.79	8	1.7262	13.8096
1	0.0397	0.0471	6	6.7	3.1	3.8	0.7	5	1.8835	9.4175
1	0.0442	0.043	6.4	6.5	3.3	3.6	0.86	6	1.5901	9.5406
1	0.0358	0.0469	6.1	6.6	3.2	3.7	0.72	3	2.127	6.381
1	0.0361	0.0357	6	6.2	3.3	3.3	0.68	8	1.6202	12.9616
1	0.0344	0.0518	6	7	3.1	4.1	0.64	7	2.2118	14.826
1	0.0369	0.0467	6.3	6.8	3.2	3.8	0.69	4	1.9734	7.8936
1	0.0469	0.0433	6.7	6.5	3.6	3.7	0.88	9	1.5402	13.8618
1	0.0527	0.0479	7	6.7	3.8	3.7	1.1	10	1.6736	16.736
1	0.0459	0.0507	6.5	7	3.6	4	0.94	6	1.8829	11.2974
1	0.0536	0.0437	7.4	6.4	4.1	3.5	0.96	10	1.3017	13.017
2	0.044	0.029	7.1	6	3.7	3.3	0.61	8	1.1336	9.0688
2	0.0378	0.0392	6.7	6.3	3.4	3.6	0.59	2	1.2388	2.4776
2	0.0499	0.0368	6.9	7	3.2	3.7	0.89	2	1.0177	2.0354
2	0.0367	0.0304	7	6.2	2.8	3.4	0.7	6	1.5454	9.2724
2	0.0306	0.0416	6.2	7.4	3.4	3.4	0.43	3	1.6611	4.9833
2	0.0403	0.0435	6.5	7.3	3.3	3.7	0.48	1	1.8186	1.8186
2	0.0341	0.0269	6.3	6	3.4	3.1	0.71	9	1.3838	12.4542
2	0.0391	0.0486	6.4	6	3.1	3.3	0.67	6	1.6157	9.6942
2	0.036	0.0359	6.1	6	3.2	3.3	0.85	4	1.2627	5.0508
2	0.0519	0.0323	7.5	5.8	3.6	3.2	0.59	10	1.2082	12.082
2	0.05	0.0455	6.3	7.3	3.9	3.8	0.78	3	1.6459	4.9377
2	0.0386	0.061	6.9	6.1	3.4	3.3	0.78	3	1.8442	5.5326
