Species	Weight	Count
P.napi	0.066	106.5
P.napi	0.0761	160
P.napi	0.1273	206
P.napi	0.0816	73
P.napi	0.0879	48
P.napi	0.1365	181.5
P.napi	0.0507	113.5
P.napi	0.0553	138
P.napi	0.1099	105.5
P.napi	0.0919	45
P.napi	0.0709	90.5
P.napi	0.0454	139.5
P.napi	0.0606	37
P.napi	0.1357	138.5
P.napi	0.1026	184.5
P.napi	0.086	102
P.napi	0.0611	131.5
P.napi	0.0944	134
P.napi	0.0589	103.5
P.napi	0.1435	81.5
P.napi	0.117	120.5
P.napi	0.0713	100.5
P.napi	0.0642	72
P.napi	0.0731	54
P.napi	0.0617	55
P.napi	0.0634	40.5
P.napi	0.0634	55
P.napi	0.0678	49.5
P.napi	0.1141	309.5
P.napi	0.0475	67.5
P.brassicae	0.2565	115
P.brassicae	0.3258	103
P.brassicae	0.2362	117.5
P.brassicae	0.2168	131
P.brassicae	0.2733	93.5
P.brassicae	0.2331	118.5
P.brassicae	0.196	75
P.brassicae	0.2471	119
P.brassicae	0.3184	77
P.brassicae	0.1153	91.5
P.brassicae	0.2917	58
P.brassicae	0.3034	40
P.brassicae	0.4236	53.5
P.brassicae	0.249	75
P.brassicae	0.3559	57.5
P.brassicae	0.304	106.5
P.brassicae	0.52	72
P.brassicae	0.342	106
P.brassicae	0.142	61.5
P.brassicae	0.419	53.5
P.brassicae	0.441	97.5
P.brassicae	0.2445	37
P.brassicae	0.216	75
P.brassicae	0.139	86.5
P.brassicae	0.3237	81
P.brassicae	0.3607	74
P.brassicae	0.2371	74.5
P.brassicae	0.3439	56.5
P.brassicae	0.2797	65.5
