"Gender" "Category" "Swim" "Bike" "Run" "Overall"
"1" "M" "PRO" 0.857777784 4.587499992 2.801388888 8.310277776
"2" "M" "PRO" 0.921388896 4.60944444 2.789722224 8.394444456
"3" "M" "PRO" 0.859999992 4.590277776 2.880277776 8.402500008
"4" "M" "PRO" 0.9225 4.556388888 2.906666664 8.452222224
"5" "M" "PRO" 0.860833344 4.598055552 2.946944448 8.475833328
"6" "M" "PRO" 0.895833336 4.621111104 2.926666656 8.515833336
"7" "M" "PRO" 0.842222232 4.73111112 2.888333328 8.529166656
"8" "M" "PRO" 0.860277768 4.737499992 2.899722216 8.557777776
"9" "M" "PRO" 0.859166664 4.674166656 2.983888896 8.583888888
"10" "M" "PRO" 0.874999992 4.571388888 3.096388896 8.605833336
"11" "M" "PRO" 1.004166672 4.753055544 2.786111112 8.625277776
"12" "M" "PRO" 0.859722216 4.745555544 3.008055552 8.680277784
"13" "M" "PRO" 0.985277784 4.667222232 2.990833344 8.71361112
"14" "M" "PRO" 0.858611112 4.873888896 2.944166664 8.745833328
"15" "M" "PRO" 0.861388896 4.7025 3.116666664 8.753333328
"16" "M" "PRO" 0.922777776 4.925555544 2.865 8.778888888
"17" "M" "PRO" 0.861388896 4.602777768 3.258888888 8.798333328
"18" "M" "PRO" 0.923055552 4.806944448 3.014166672 8.8125
"19" "M" "PRO" 0.923055552 4.649166672 3.189444456 8.838333336
"20" "M" "PRO" 1.133611104 4.776388896 2.856388896 8.839166664
"21" "M" "PRO" 0.857500008 4.721388888 3.20694444 8.865833328
"22" "M" "PRO" 0.859722216 4.71 3.25055556 8.894166672
"23" "M" "PRO" 1.028611104 4.840000008 2.950000008 8.895
"24" "M" "40-44" 1.066666656 4.72805556 3.013888896 8.904722232
"25" "M" "PRO" 0.85805556 4.652500008 3.342222216 8.91611112
"26" "M" "PRO" 0.922777776 4.866388896 3.053611104 8.934444456
"27" "M" "PRO" 0.920555544 4.90805556 3.039722232 8.936111112
"28" "M" "PRO" 1.025555544 4.905277776 2.93555556 8.944722216
"29" "M" "PRO" 1.028055552 4.715833344 3.17111112 8.99388888
"30" "M" "18-24" 1.01111112 4.872777768 3.061944456 9.024166656
"31" "M" "35-39" 1.200555552 4.729166664 3.081388896 9.102499992
"32" "M" "PRO" 1.132777776 4.935555552 2.935833336 9.113055552
"33" "M" "25-29" 1.017777768 4.95888888 3.080277768 9.145277784
"34" "M" "30-34" 0.986666664 4.897777776 3.17555556 9.150555552
"35" "M" "35-39" 1.033055544 4.949166672 3.098611104 9.169166664
"36" "M" "30-34" 1.117777776 4.885277784 3.075555552 9.189722232
"37" "M" "35-39" 0.909166656 5.159444448 3.044166672 9.200833344
"38" "M" "30-34" 1.00055556 5.145277776 2.97444444 9.210555552
"39" "M" "25-29" 0.976111104 5.061666672 3.111944448 9.221666664
"40" "M" "18-24" 0.989722224 4.935833328 3.163055544 9.227500008
"41" "M" "25-29" 0.968055552 5.051666664 3.11111112 9.233333328
"42" "M" "35-39" 1.021666656 5.075277768 3.03 9.235833336
"43" "M" "40-44" 1.061666664 4.965555552 3.11388888 9.242222232
"44" "M" "40-44" 0.973888896 5.148888888 3.011111112 9.245833344
"45" "M" "25-29" 1.05138888 4.933333344 3.133055544 9.259166664
"46" "F" "PRO" 0.934166664 5.201666664 3.053611104 9.265000008
"47" "M" "25-29" 1.06361112 5.189166672 2.941944456 9.271944456
"48" "M" "25-29" 1.052222232 4.826666664 3.31055556 9.278055552
"49" "M" "30-34" 0.947500008 5.083055544 3.156666672 9.279444456
"50" "F" "PRO" 0.960277776 5.11361112 3.135555552 9.282777768
"51" "M" "35-39" 1.055833344 4.978333344 3.157777776 9.283055544
"52" "M" "30-34" 1.121111112 4.926944448 3.141944448 9.288333336
"53" "M" "45-49" 1.021944456 5.030833344 3.126944448 9.28944444
"54" "M" "35-39" 0.968611104 5.211666672 3.041666664 9.290555544
"55" "M" "30-34" 1.045000008 4.953888888 3.230277768 9.318888888
"56" "M" "25-29" 0.934166664 5.146666656 3.156944448 9.3225
"57" "M" "PRO" 0.92111112 4.947777768 3.376111104 9.323055552
"58" "M" "35-39" 1.079722224 4.990833336 3.164444448 9.32861112
"59" "M" "25-29" 1.071944448 4.989722232 3.189444456 9.331666656
"60" "M" "25-29" 1.019444448 5.353333344 2.877499992 9.335277768
"61" "M" "35-39" 1.044722232 5.07305556 3.11861112 9.33611112
"62" "M" "35-39" 1.035833328 4.775555544 3.426388896 9.344444448
"63" "M" "25-29" 1.039999992 5.068333344 3.138611112 9.351666672
"64" "M" "35-39" 0.929166672 5.160277776 3.193055544 9.360555552
"65" "F" "PRO" 1.001666664 5.205 3.084444456 9.36138888
"66" "M" "25-29" 1.079722224 4.972222224 3.208055544 9.361666656
"67" "M" "30-34" 1.02888888 4.976388888 3.271666656 9.36611112
"68" "M" "PRO" 0.846388896 5.248055544 3.182222232 9.367222224
"69" "M" "PRO" 0.860277768 5.244722232 3.18888888 9.367222224
"70" "M" "30-34" 0.9075 5.145277776 3.23388888 9.374444448
"71" "M" "PRO" 0.860833344 4.928055552 3.511111104 9.375277776
"72" "M" "30-34" 1.022777784 5.054166672 3.208888896 9.377222232
"73" "F" "PRO" 1.176666672 5.132500008 2.990555544 9.379166664
"74" "M" "30-34" 1.080833328 4.941388896 3.266111112 9.379999992
"75" "F" "PRO" 0.934999992 5.134999992 3.175000008 9.3825
