Species,Male_brain,Female_brain,Male_mass,Female_mass,Harem,Small_intestine,Gestation,Lifespan,Lactation,Dive_duration
Monachus schauinslandi,370,NA,173,272.2,1,1030,330,360,38,12
Monachus monachus,480,480,260,275,1,870,330,284,42,NA
Mirounga angustirostris,700,640,2275,488,13,3820,230,243.5,26,62
Mirounga leonina,1431.3,898.8,3510,565.7,48,12100,225,276,23,120
Leptonychotes weddelli,535,637.5,450,447,3,2700,263,300,50,82
Ommatophoca rossi,425,530,153.8,164,1,790,248,252,30,9.8
Lobodon carcinophagus,578.2,538.8,220.5,224,1,2530,255,468,17,10.8
Hydrurga leptonyx,765,660,324,367,1,2190,276,312,29,NA
Cystophora cristata,480,430,343.2,222.5,1,2520,234,420,4,52
Erignathus barbatus,NA,460,312.5,326,1,2164,270,377.4,24,25
Halichoerus grypus,342.5,272.5,233,205.8,5,NA,242,560.1,16,32
Phoca groenlandica,297.5,252.5,145,139,1,2280,233,504,12,20
Phoca fasciata,257.5,240,94.8,80.4,1,NA,234,365.3,25,NA
Phoca largha,257.5,250,97,71.3,1,NA,248,426.1,18,10
Phoca caspica,165,160,70.5,55,1,NA,330,600,23,NA
Phoca sibirica,185,190,89.5,85,1,NA,270,672,60,40
Phoca hispida,229.3,220,84,81.2,1,1590,225,552,39,26.4
Phoca vitulina,362.3,265,97.1,85.2,1,1320,248,480,27,12
Zalophus californianus,405,361.5,244.5,81,14.9,3261,240,360,330,9.9
Eumetopias jubatus,747.5,575,1000,287.5,11.8,7771,240,360,320,16
Otaria byronia,546.3,470,300,144,6,NA,255,274,548,7.7
Neophoca cinerea,440,337.5,300,78.6,3.8,NA,255,192,520,8.3
Phocarctos hookeri,417.5,370,364,114.7,12.9,2688,NA,NA,365,12
Callorhinus ursinus,355,302.5,140,33.3,22.7,NA,240,420,118,7.6
Arctocephalus townsendi,NA,NA,112,49.6,6.2,NA,NA,288,285,18
Arctocephalus philippii,415,NA,140,48.1,4,NA,NA,NA,210,3.7
Arctocephalus galapagoensis,302.5,280,64.5,27.4,5.9,NA,210,264,540,7.7
Arctocephalus australis,350,265,91,48.5,6,NA,236,252,365,7.1
Arctocephalus forsteri,340,300,125,38.1,6.2,NA,233,180,285,11.7
Arctocephalus gazella,360,320,155,45,5.1,NA,233,276,116,10
Arctocephalus tropicalis,322.5,330,152.5,50,4.4,NA,232,276,300,NA
Arctocephalus pusillus,401.3,337.5,263,64.1,13.8,265,240,252,270,7.5
Odobenus rosmarus,1303,1340.5,1233,811.5,7.2,4239,330,480,720,12.7
