Reports,Count
01/03/2019,250
01/02/2019,195
01/01/2019,317
01/12/2018,237
01/11/2018,233
01/10/2018,266
01/09/2018,300
01/08/2018,357
01/07/2018,406
01/06/2018,226
01/05/2018,244
01/04/2018,224
01/03/2018,237
01/02/2018,238
01/01/2018,313
01/12/2017,504
01/11/2017,352
01/10/2017,483
01/09/2017,449
01/08/2017,410
01/07/2017,512
01/06/2017,415
01/05/2017,366
01/04/2017,412
01/03/2017,345
01/02/2017,422
01/01/2017,338
01/12/2016,354
01/11/2016,499
01/10/2016,492
01/09/2016,596
01/08/2016,560
01/07/2016,695
01/06/2016,434
01/05/2016,385
01/04/2016,389
01/03/2016,414
01/02/2016,434
01/01/2016,421
01/12/2015,441
01/11/2015,907
01/10/2015,663
01/09/2015,733
01/08/2015,628
01/07/2015,739
01/06/2015,490
01/05/2015,467
01/04/2015,461
01/03/2015,482
01/02/2015,346
01/01/2015,542
01/12/2014,529
01/11/2014,549
01/10/2014,800
01/09/2014,839
01/08/2014,934
01/07/2014,1113
01/06/2014,789
01/05/2014,659
01/04/2014,673
01/03/2014,521
01/02/2014,559
01/01/2014,718
01/12/2013,771
01/11/2013,813
01/10/2013,799
01/09/2013,800
01/08/2013,928
01/07/2013,988
01/06/2013,653
01/05/2013,538
01/04/2013,430
01/03/2013,401
01/02/2013,285
01/01/2013,401
01/12/2012,677
01/11/2012,782
01/10/2012,682
01/09/2012,778
01/08/2012,908
01/07/2012,950
01/06/2012,772
01/05/2012,525
01/04/2012,505
01/03/2012,539
01/02/2012,399
01/01/2012,588
01/12/2011,538
01/11/2011,450
01/10/2011,646
01/09/2011,562
01/08/2011,646
01/07/2011,774
01/06/2011,413
01/05/2011,322
01/04/2011,318
01/03/2011,336
01/02/2011,278
01/01/2011,332
01/12/2010,308
01/11/2010,367
01/10/2010,480
01/09/2010,456
01/08/2010,535
01/07/2010,853
01/06/2010,391
01/05/2010,334
01/04/2010,296
01/03/2010,264
01/02/2010,193
01/01/2010,296
01/12/2009,296
01/11/2009,326
01/10/2009,324
01/09/2009,602
01/08/2009,504
01/07/2009,618
01/06/2009,395
01/05/2009,360
01/04/2009,320
01/03/2009,342
01/02/2009,397
01/01/2009,499
01/12/2008,351
01/11/2008,461
01/10/2008,539
01/09/2008,388
01/08/2008,509
01/07/2008,577
01/06/2008,490
01/05/2008,347
01/04/2008,444
01/03/2008,341
01/02/2008,372
01/01/2008,476
01/12/2007,362
01/11/2007,375
01/10/2007,449
01/09/2007,452
01/08/2007,475
01/07/2007,467
01/06/2007,435
01/05/2007,320
01/04/2007,323
01/03/2007,364
01/02/2007,268
01/01/2007,441
01/12/2006,387
01/11/2006,413
01/10/2006,402
01/09/2006,330
01/08/2006,431
01/07/2006,432
01/06/2006,345
01/05/2006,302
01/04/2006,323
01/03/2006,307
01/02/2006,234
01/01/2006,254
01/12/2005,281
01/11/2005,467
01/10/2005,491
01/09/2005,532
01/08/2005,355
01/07/2005,461
01/06/2005,414
01/05/2005,303
01/04/2005,318
01/03/2005,360
01/02/2005,278
01/01/2005,261
01/12/2004,308
01/11/2004,333
01/10/2004,454
01/09/2004,414
01/08/2004,553
01/07/2004,440
01/06/2004,432
01/05/2004,391
01/04/2004,394
01/03/2004,416
01/02/2004,301
01/01/2004,305
01/12/2003,384
01/11/2003,472
01/10/2003,476
01/09/2003,511
01/08/2003,546
01/07/2003,453
01/06/2003,311
01/05/2003,253
01/04/2003,226
01/03/2003,192
01/02/2003,267
01/01/2003,328
01/12/2002,252
01/11/2002,295
01/10/2002,342
01/09/2002,381
01/08/2002,491
01/07/2002,434
01/06/2002,354
01/05/2002,251
01/04/2002,194
01/03/2002,198
01/02/2002,260
01/01/2002,239
01/12/2001,214
01/11/2001,280
01/10/2001,257
01/09/2001,352
01/08/2001,398
01/07/2001,411
01/06/2001,318
01/05/2001,256
01/04/2001,238
01/03/2001,291
01/02/2001,235
01/01/2001,284
01/12/2000,234
01/11/2000,232
01/10/2000,331
01/09/2000,299
01/08/2000,298
01/07/2000,370
01/06/2000,280
01/05/2000,190
01/04/2000,200
01/03/2000,225
01/02/2000,205
01/01/2000,232
01/12/1999,226
01/11/1999,451
01/10/1999,313
01/09/1999,408
01/08/1999,319
01/07/1999,309
01/06/1999,292
01/05/1999,192
01/04/1999,166
01/03/1999,163
01/02/1999,176
01/01/1999,145
01/12/1998,193
01/11/1998,215
01/10/1998,229
01/09/1998,250
01/08/1998,176
01/07/1998,188
01/06/1998,213
01/05/1998,109
01/04/1998,130
01/03/1998,147
01/02/1998,88
01/01/1998,85
01/12/1997,73
01/11/1997,126
01/10/1997,114
01/09/1997,59
01/08/1997,133
01/07/1997,231
01/06/1997,205
01/05/1997,108
01/04/1997,95
01/03/1997,201
01/02/1997,49
01/01/1997,58
01/12/1996,85
01/11/1996,87
01/10/1996,57
01/09/1996,74
01/08/1996,87
01/07/1996,81
01/06/1996,157
01/05/1996,81
01/04/1996,105
01/03/1996,66
01/02/1996,76
01/01/1996,59
01/12/1995,60
01/11/1995,121
01/10/1995,109
01/09/1995,132
01/08/1995,198
01/07/1995,138
01/06/1995,186
01/05/1995,106
01/04/1995,93
01/03/1995,125
01/02/1995,116
01/01/1995,95
01/12/1994,40
01/11/1994,26
01/10/1994,67
01/09/1994,39
01/08/1994,66
01/07/1994,61
01/06/1994,93
01/05/1994,33
01/04/1994,32
01/03/1994,24
01/02/1994,11
01/01/1994,19
01/12/1993,16
01/11/1993,20
01/10/1993,24
01/09/1993,30
01/08/1993,44
01/07/1993,49
01/06/1993,103
01/05/1993,31
01/04/1993,16
01/03/1993,20
01/02/1993,16
01/01/1993,18
01/12/1992,15
01/11/1992,18
01/10/1992,39
01/09/1992,25
01/08/1992,33
01/07/1992,39
01/06/1992,71
01/05/1992,22
01/04/1992,23
01/03/1992,11
01/02/1992,16
01/01/1992,6
01/12/1991,12
01/11/1991,18
01/10/1991,19
01/09/1991,32
01/08/1991,32
01/07/1991,40
01/06/1991,55
01/05/1991,26
01/04/1991,16
01/03/1991,15
01/02/1991,9
01/01/1991,12
01/12/1990,17
01/11/1990,23
01/10/1990,28
01/09/1990,22
01/08/1990,37
01/07/1990,50
01/06/1990,61
01/05/1990,19
01/04/1990,9
01/03/1990,9
01/02/1990,21
01/01/1990,19
01/12/1989,21
01/11/1989,27
01/10/1989,39
01/09/1989,25
01/08/1989,26
01/07/1989,37
01/06/1989,60
01/05/1989,23
01/04/1989,13
01/03/1989,12
01/02/1989,8
01/01/1989,15
01/12/1988,8
01/11/1988,19
01/10/1988,38
01/09/1988,18
01/08/1988,55
01/07/1988,35
01/06/1988,62
01/05/1988,13
01/04/1988,9
01/03/1988,15
01/02/1988,6
01/01/1988,12
01/12/1987,13
01/11/1987,18
01/10/1987,30
01/09/1987,13
01/08/1987,36
01/07/1987,49
01/06/1987,53
01/05/1987,20
01/04/1987,20
01/03/1987,11
01/02/1987,5
01/01/1987,13
01/12/1986,9
01/11/1986,11
01/10/1986,26
01/09/1986,19
01/08/1986,30
01/07/1986,27
01/06/1986,58
01/05/1986,14
01/04/1986,16
01/03/1986,10
01/02/1986,10
01/01/1986,7
01/12/1985,11
01/11/1985,11
01/10/1985,22
01/09/1985,21
01/08/1985,27
01/07/1985,40
01/06/1985,82
01/05/1985,17
01/04/1985,10
01/03/1985,6
01/02/1985,4
01/01/1985,11
01/12/1984,7
01/11/1984,12
01/10/1984,21
01/09/1984,19
01/08/1984,32
01/07/1984,27
01/06/1984,56
01/05/1984,13
01/04/1984,9
01/03/1984,10
01/02/1984,5
01/01/1984,8
01/12/1983,9
01/11/1983,8
01/10/1983,12
01/09/1983,18
01/08/1983,21
01/07/1983,29
01/06/1983,56
01/05/1983,19
01/04/1983,22
01/03/1983,8
01/02/1983,4
01/01/1983,3
01/12/1982,10
01/11/1982,9
01/10/1982,22
01/09/1982,21
01/08/1982,24
01/07/1982,36
01/06/1982,67
01/05/1982,18
01/04/1982,5
01/03/1982,2
01/02/1982,5
01/01/1982,7
01/12/1981,5
01/11/1981,13
01/10/1981,18
01/09/1981,21
01/08/1981,25
01/07/1981,24
01/06/1981,56
01/05/1981,14
01/04/1981,12
01/03/1981,6
01/02/1981,4
01/01/1981,13
01/12/1980,19
01/11/1980,6
01/10/1980,28
01/09/1980,25
01/08/1980,30
01/07/1980,46
01/06/1980,84
01/05/1980,22
01/04/1980,7
01/03/1980,15
01/02/1980,7
01/01/1980,15
01/12/1979,10
01/11/1979,21
01/10/1979,19
01/09/1979,30
01/08/1979,33
01/07/1979,43
01/06/1979,77
01/05/1979,17
01/04/1979,18
01/03/1979,15
01/02/1979,11
01/01/1979,11
01/12/1978,15
01/11/1978,24
01/10/1978,29
01/09/1978,25
01/08/1978,62
01/07/1978,86
01/06/1978,86
01/05/1978,15
01/04/1978,16
01/03/1978,16
01/02/1978,13
01/01/1978,21
01/12/1977,13
01/11/1977,15
01/10/1977,19
01/09/1977,23
01/08/1977,40
01/07/1977,80
01/06/1977,80
01/05/1977,25
01/04/1977,12
01/03/1977,17
01/02/1977,6
01/01/1977,14
01/12/1976,9
01/11/1976,18
01/10/1976,23
01/09/1976,35
01/08/1976,33
01/07/1976,68
01/06/1976,105
01/05/1976,16
01/04/1976,11
01/03/1976,5
01/02/1976,11
01/01/1976,12
01/12/1975,16
01/11/1975,20
01/10/1975,35
01/09/1975,24
01/08/1975,43
01/07/1975,61
01/06/1975,121
01/05/1975,13
01/04/1975,16
01/03/1975,13
01/02/1975,5
01/01/1975,17
01/12/1974,8
01/11/1974,24
01/10/1974,33
01/09/1974,30
01/08/1974,42
01/07/1974,52
01/06/1974,81
01/05/1974,19
01/04/1974,17
01/03/1974,7
01/02/1974,4
01/01/1974,13
01/12/1973,5
01/11/1973,20
01/10/1973,49
01/09/1973,26
01/08/1973,27
01/07/1973,45
01/06/1973,66
01/05/1973,13
01/04/1973,12
01/03/1973,10
01/02/1973,9
01/01/1973,7
01/12/1972,7
01/11/1972,8
01/10/1972,19
01/09/1972,17
01/08/1972,22
01/07/1972,36
01/06/1972,72
01/05/1972,12
01/04/1972,3
01/03/1972,9
01/02/1972,2
01/01/1972,5
01/12/1971,2
01/11/1971,6
01/10/1971,11
01/09/1971,16
01/08/1971,15
01/07/1971,24
01/06/1971,36
01/05/1971,9
01/04/1971,10
01/03/1971,2
01/02/1971,8
01/01/1971,6
01/12/1970,9
01/11/1970,7
01/10/1970,16
01/09/1970,15
01/08/1970,19
01/07/1970,29
01/06/1970,59
01/05/1970,13
01/04/1970,6
01/03/1970,6
01/02/1970,6
01/01/1970,12
01/12/1969,7
01/11/1969,10
01/10/1969,17
01/09/1969,7
01/08/1969,29
01/07/1969,38
01/06/1969,51
01/05/1969,9
01/04/1969,6
01/03/1969,6
01/02/1969,2
01/01/1969,10
01/12/1968,8
01/11/1968,8
01/10/1968,26
01/09/1968,16
01/08/1968,28
01/07/1968,50
01/06/1968,86
01/05/1968,17
01/04/1968,12
01/03/1968,2
01/02/1968,3
01/01/1968,18
01/12/1967,3
01/11/1967,11
01/10/1967,20
01/09/1967,26
01/08/1967,44
01/07/1967,21
01/06/1967,72
01/05/1967,11
01/04/1967,18
01/03/1967,7
01/02/1967,6
01/01/1967,5
01/12/1966,7
01/11/1966,17
01/10/1966,19
01/09/1966,21
01/08/1966,20
01/07/1966,25
01/06/1966,84
01/05/1966,16
01/04/1966,12
01/03/1966,18
01/02/1966,3
01/01/1966,7
01/12/1965,17
01/11/1965,9
01/10/1965,23
01/09/1965,10
01/08/1965,34
01/07/1965,38
01/06/1965,65
01/05/1965,11
01/04/1965,8
01/03/1965,2
01/02/1965,4
01/01/1965,5
01/11/1964,5
01/10/1964,5
01/09/1964,13
01/08/1964,19
01/07/1964,20
01/06/1964,35
01/05/1964,9
01/04/1964,4
01/03/1964,4
01/02/1964,1
01/01/1964,3
01/12/1963,1
01/11/1963,3
01/10/1963,5
01/09/1963,1
01/08/1963,9
01/07/1963,20
01/06/1963,38
01/05/1963,9
