Week,springboks
2019-01-06,1
2019-01-13,2
2019-01-20,1
2019-01-27,1
2019-02-03,1
2019-02-10,1
2019-02-17,2
2019-02-24,2
2019-03-03,2
2019-03-10,1
2019-03-17,1
2019-03-24,2
2019-03-31,1
2019-04-07,1
2019-04-14,1
2019-04-21,2
2019-04-28,1
2019-05-05,1
2019-05-12,2
2019-05-19,1
2019-05-26,1
2019-06-02,1
2019-06-09,2
2019-06-16,1
2019-06-23,2
2019-06-30,2
2019-07-07,2
2019-07-14,10
2019-07-21,18
2019-07-28,4
2019-08-04,12
2019-08-11,12
2019-08-18,5
2019-08-25,5
2019-09-01,11
2019-09-08,5
2019-09-15,23
2019-09-22,13
2019-09-29,9
2019-10-06,11
2019-10-13,8
2019-10-20,33
2019-10-27,100
2019-11-03,35
2019-11-10,9
2019-11-17,3
2019-11-24,3
2019-12-01,4
2019-12-08,3
2019-12-15,5
2019-12-22,2
2019-12-29,3
