Family	Brain	Body	Dive
Delphinidae	1824	209530	6.8
Delphinidae	815	60170	5.9
Delphinidae	2387	328000	30
Delphinidae	1148	91050	6.2
Delphinidae	1103	244667	4
Delphinidae	2893	943200	27
Delphinidae	5059	1955450	10.4
Delphinidae	660	66200	3.5
Delphinidae	1542	124857	15
Delphinidae	688	42240	1.5
Phocoenidae	540	51193	5.35
Phocoenidae	866	86830	5.6
Platanistidae	510	82000	2.25
Platanistidae	295	59630	3
Physeteridae	1012	305000	17.7
Physeteridae	622	168500	43
Physeteridae	8028	35833330	73
Monodontidae	2083	636000	18.3
Monodontidae	2997	1578330	26.2
Balaenopteridae	7085	38421500	16
Balaenopteridae	3636	50904000	18
Balaenopteridae	6411	39295000	21.1
