Country Name,Country Code,2016
Aruba,ABW,-0.886758352
Afghanistan,AFG,4.383891955
Angola,AGO,32.37773407
Albania,ALB,1.275125281
Andorra,AND,NA
Arab World,ARB,1.844390956
United Arab Emirates,ARE,1.615925039
Argentina,ARG,NA
Armenia,ARM,-1.403607559
American Samoa,ASM,NA
Antigua and Barbuda,ATG,-0.489437796
Australia,AUS,1.276990945
Austria,AUT,0.891592367
Azerbaijan,AZE,12.44949552
Burundi,BDI,5.557689614
Belgium,BEL,1.973852647
Benin,BEN,-0.848347682
Burkina Faso,BFA,-0.244764126
Bangladesh,BGD,5.513525727
Bulgaria,BGR,-0.79874909
Bahrain,BHR,2.800594698
"Bahamas, The",BHS,-0.34637693
Bosnia and Herzegovina,BIH,-1.089130318
Belarus,BLR,11.83658077
Belize,BLZ,NA
Bermuda,BMU,NA
Bolivia,BOL,3.623214318
Brazil,BRA,8.7391283
Barbados,BRB,1.281928131
Brunei Darussalam,BRN,-0.739068722
Bhutan,BTN,4.310168755
Botswana,BWA,2.814957914
Central African Republic,CAF,NA
Canada,CAN,1.428759547
Central Europe and the Baltics,CEB,-0.054999542
Switzerland,CHE,-0.434607639
Channel Islands,CHI,NA
Chile,CHL,3.786193559
China,CHN,2
Cote d'Ivoire,CIV,0.723178458
Cameroon,CMR,0.874190383
"Congo, Dem. Rep.",COD,2.885851073
"Congo, Rep.",COG,3.190561797
Colombia,COL,7.514293228
Comoros,COM,NA
Cabo Verde,CPV,-1.407816371
Costa Rica,CRI,-0.017471924
Caribbean small states,CSS,0.141816226
Cuba,CUB,NA
Curacao,CUW,-0.047207985
Cayman Islands,CYM,-0.625258359
Cyprus,CYP,-1.429166667
Czech Republic,CZE,0.683504209
Germany,DEU,0.491748625
Djibouti,DJI,2.738412087
Dominica,DMA,0.141816226
Denmark,DNK,0.25
Dominican Republic,DOM,1.614166072
Algeria,DZA,6.397694803
East Asia & Pacific (excluding high income),EAP,1.59691347
Early-demographic dividend,EAR,3.284293908
East Asia & Pacific,EAS,1.253698801
Europe & Central Asia (excluding high income),ECA,1.198719628
Europe & Central Asia,ECS,0.356684501
Ecuador,ECU,1.728264633
"Egypt, Arab Rep.",EGY,13.80966828
Euro area,EMU,0.183334861
Eritrea,ERI,NA
Spain,ESP,-0.202671741
Estonia,EST,0.148684908
Ethiopia,ETH,7.263731539
European Union,EUU,0.216667431
Fragile and conflict affected situations,FCS,1.43037535
Finland,FIN,0.356684501
Fiji,FJI,3.863225382
France,FRA,0.183334861
Faroe Islands,FRO,NA
"Micronesia, Fed. Sts.",FSM,-1.037468064
Gabon,GAB,2.106707128
United Kingdom,GBR,1.008417368
Georgia,GEO,NA
Ghana,GHA,17.45463471
Gibraltar,GIB,NA
Guinea,GIN,8.172681123
"Gambia, The",GMB,7.228683889
Guinea-Bissau,GNB,1.575302229
Equatorial Guinea,GNQ,1.411939155
Greece,GRC,-0.825651782
Grenada,GRD,1.650389944
Greenland,GRL,NA
Guatemala,GTM,4.448441999
Guam,GUM,NA
Guyana,GUY,0.836008062
High income,HIC,0.443258966
"Hong Kong SAR, China",HKG,2.411135968
Honduras,HND,2.724612233
Heavily indebted poor countries (HIPC),HPC,3.623214318
Croatia,HRV,-1.125
Haiti,HTI,11.50290739
Hungary,HUN,0.394769307
IBRD only,IBD,2.349758498
IDA & IBRD total,IBT,2.776685001
IDA total,IDA,2.885851073
IDA blend,IDB,1.352871612
Indonesia,IDN,3.525805157
IDA only,IDX,3.04541464
Isle of Man,IMN,NA
India,IND,4.941026458
Not classified,INX,NA
Ireland,IRL,0.008306338
"Iran, Islamic Rep.",IRN,8.651257774
Iraq,IRQ,0.556521397
Iceland,ISL,1.69692762
Israel,ISR,-0.54438861
Italy,ITA,-0.094016657
Jamaica,JAM,2.349758498
Jordan,JOR,-0.778579635
Japan,JPN,-0.116666667
Kazakhstan,KAZ,14.36109424
Kenya,KEN,6.297157525
Kyrgyz Republic,KGZ,0.388838297
Cambodia,KHM,3.04541464
Kiribati,KIR,NA
St. Kitts and Nevis,KNA,-0.687037123
"Korea, Rep.",KOR,0.971674764
Kuwait,KWT,3.198397767
Latin America & Caribbean (excluding high income),LAC,2.724612233
Lao PDR,LAO,1.59691347
Lebanon,LBN,-0.783359624
Liberia,LBR,8.834248683
Libya,LBY,NA
St. Lucia,LCA,-3.092989589
Latin America & Caribbean,LCN,1.650389944
Least developed countries: UN classification,LDC,5.174766293
Low income,LIC,5.855477935
Liechtenstein,LIE,NA
Sri Lanka,LKA,3.958888466
Lower middle income,LMC,3.217064614
Low & middle income,LMY,2.821707847
Lesotho,LSO,6.596504907
Late-demographic dividend,LTE,1.082280669
Lithuania,LTU,0.905521554
Luxembourg,LUX,0.290833333
Latvia,LVA,0.140633335
"Macao SAR, China",MAC,2.370161348
St. Martin (French part),MAF,NA
Morocco,MAR,1.635311143
Monaco,MCO,NA
