int_pron	int_horn	taurus_pron	taurus_horn
3.42	0.4	4.0108	0.3445
3.43	0.32	4.0966	0.3711
3.43	0.32	4.1495	0.4305
3.45	0.475	4.1575	0.4643
3.45	0.37	4.2257	0.4703
3.46	0.32	4.2501	0.4281
3.5	0.5	4.2601	0.4930
3.53	0.59	4.2713	0.4244
3.55	0.445	4.2882	0.3409
3.55	0.49	4.2959	0.3478
3.6	0.46	4.3062	0.3573
3.6	0.51	4.3308	0.3865
3.6	0.91	4.3408	0.4674
3.6	0.42	4.3571	0.4737
3.65	0.62	4.3906	0.4897
3.65	0.58	4.4606	0.5680
3.65	0.645	4.4609	0.5386
3.7	0.73	4.4700	0.4591
3.7	0.545	4.4763	0.4021
3.75	0.815	4.4961	0.4833
3.75	0.65	4.5097	0.3300
3.8	0.75	4.5307	0.5329
3.8	0.74	4.5307	0.5136
3.82	0.9	4.5324	0.3986
3.85	0.83	4.5380	0.4852
3.85	0.47	4.5390	0.5138
3.85	0.47	4.5392	0.6305
3.85	0.69	4.5477	0.6199
3.85	0.89	4.5687	0.4944
3.85	0.775	4.5768	0.3981
3.86	0.925	4.5773	0.4653
3.9	0.65	4.5884	0.4647
3.9	1	4.5912	0.5479
3.95	0.895	4.5935	0.3213
3.95	0.995	4.6085	0.5761
3.95	0.915	4.6088	0.7500
3.95	0.84	4.6163	0.4680
3.95	0.82	4.6168	0.5251
3.95	0.855	4.6168	0.4873
3.95	0.37	4.6175	0.5780
4	0.86	4.6183	0.6041
4	1	4.6236	0.4841
4.05	1.06	4.6266	0.5338
4.05	1.03	4.6401	0.4728
4.1	0.9	4.6478	0.5486
4.1	1.01	4.6504	0.5336
4.15	1.18	4.6597	0.4901
4.15	0.975	4.6599	0.8865
4.17	1.095	4.6600	0.4339
4.18	0.87	4.6672	0.5231
4.2	0.96	4.6765	0.5200
4.2	1.15	4.6768	0.4620
4.2	1.08	4.6966	0.5894
4.2	1	4.6970	0.7229
4.2	1.125	4.6975	0.5146
4.23	1.05	4.6977	0.4869
4.25	1.075	4.7054	0.6358
4.25	1.05	4.7079	0.3696
4.25	1.25	4.7092	0.4159
4.26	1.1	4.7173	0.6235
4.28	1.06	4.7197	0.5471
4.3	1.175	4.7283	0.3929
4.3	1.24	4.7294	1.1831
4.3	1.16	4.7297	0.5625
4.35	1.2	4.7300	1.1647
4.35	0.995	4.7377	0.5678
4.35	1.225	4.7387	0.3814
4.35	1.315	4.7573	0.6775
4.35	1.155	4.7675	0.7978
4.36	1.17	4.7792	0.5042
4.37	1.015	4.7794	0.4664
4.38	1.225	4.7808	0.6974
4.39	1.21	4.7893	0.4037
4.4	NA	4.7902	0.5431
4.4	1.215	4.7987	0.9238
4.4	1.225	4.7987	0.8952
4.4	1.19	4.8069	1.0197
4.4	1.23	4.8161	0.8125
4.4	1.115	4.8162	0.4657
4.4	1.055	4.8260	0.7230
4.4	1.225	4.8272	0.5895
4.4	1.26	4.8377	0.6032
4.4	1.27	4.8379	2.4356
4.4	1.13	4.8404	0.5722
4.43	1.185	4.8490	0.7294
4.45	1.105	4.8509	0.6766
4.45	1.085	4.8684	1.5874
4.45	1.24	4.8761	1.4230
4.45	1.135	4.8952	1.1094
4.45	1.26	4.8969	2.4086
4.45	1.28	4.8971	2.2255
4.45	1.075	4.9071	1.3432
4.45	1.24	4.9082	1.0610
4.46	1.145	4.9095	2.2326
4.47	1.325	4.9096	2.6323
4.5	1.045	4.9169	2.8575
4.5	1.02	4.9197	1.5098
4.5	1.34	4.9201	1.0051
4.5	1.125	4.9208	0.5491
4.5	1.23	4.9432	2.1344
4.5	1.07	4.9443	1.7288
4.5	1.215	4.9453	1.1485
4.5	1.28	4.9462	3.6796
4.5	1.26	4.9549	3.5068
4.5	1.25	4.9552	3.4800
4.5	1.115	4.9571	1.5208
4.53	1.225	4.9581	1.3311
4.55	1.255	4.9678	0.8342
4.55	1.25	4.9687	1.3608
4.55	1.37	4.9706	3.5660
4.55	0.855	4.9787	2.9096
4.55	1.285	4.9795	0.7816
4.55	1.31	4.9974	1.5866
4.55	1.37	5.0053	1.9823
4.55	1.15	5.0058	2.9220
4.57	1.115	5.0062	0.9461
4.58	1.06	5.0063	1.7833
4.58	1.29	5.0151	0.8338
4.59	1.075	5.0153	0.9639
4.6	1.34	5.0156	1.5014
4.6	1.09	5.0157	2.8736
4.6	1.34	5.0170	2.7712
4.6	1.19	5.0360	2.3652
4.64	1.375	5.0380	3.9482
4.65	1.205	5.0386	3.2546
4.65	1.325	5.0397	2.6340
4.72	1.385	5.0404	3.8391
4.86	1.14	5.0484	3.2759
4.9	1.375	5.0485	3.4480
