age spr agi dri bc sho hei wei apl
12 3.57 8.74 11.07 12 23 160 42 2
12 3.58 7.96 10.99 10.5 19 142 38 3
11 3.59 8.06 11.88 11.84 24 148 37 3
11 3.65 8.54 12.04 12.62 23 142 32.2 3
11 4.06 8.53 9.99 8.62 19 150 39.7 2
11 3.79 8.68 11.42 10.97 24 164 56 3
11 3.46 8.14 10.38 10.24 15 155 39 3
12 3.48 7.97 11.48 12.67 20 145 38.2 2
11 3.96 8.94 11.68 11.03 20 142 40 3
12 3.73 8.69 10.51 9.74 16 151 42 3
12 3.94 9.48 11.2 10.95 22 158 58 3
12 3.8 8.28 10.56 9.53 16 160 43 3
11 3.59 7.93 12.66 11.68 20 149 39 3
12 3.53 8.68 13.17 11.45 19 158 40 1
11 3.52 8.39 12 999 23 158 40 2
12 3.51 8.57 12.69 12.86 999 157 45.2 3
12 3.53 7.54 10.52 12.37 19 155 37.6 3
11 3.56 8.39 11.21 12.33 17 147 36.2 3
12 3.47 8.62 10.8 17.17 20 148 39 3
12 3.6 7.9 10.43 10.09 10 147 42 3
11 3.71 8.45 11.76 10.15 19 148 36.5 3
12 3.57 8.18 11.4 9.36 19 141 36 3
11 3.39 8.49 12.25 9.17 21 155 42 3
11 3.24 8.88 11.49 9.13 19 168 55 3
11 3.36 8.22 11.12 9.8 19 150 35 3
11 3.65 8.94 12.13 10.56 20 153 39 3
11 3.62 8.47 11.91 10 21 130 30 3
12 3.97 8.48 11.92 9.8 20 152 46 3
11 3.87 9.39 11.51 11.24 16 153 40 3
11 3.66 8.45 12.01 12.45 18 145 35 3
11 3.82 8.26 11.12 12.45 18 150 40 3
11 3.57 8.22 11.43 8.91 21 156 40 3
12 999 999 999 999 20 142 40 3
12 3.64 8.1 11.2 10.66 19 151 42 3
11 3.84 8.89 12.04 12.18 12 149 46 3
11 3.54 7.98 10.99 10.94 20 156 41 3
12 3.51 7.99 11.17 10.08 19 160 48 3
11 3.81 8.53 12.69 13.76 18 139 39 3
11 3.58 8.62 12.5 12.67 20 152 35 3
11 3.68 8.51 12.44 11.92 21 153 38 3
11 3.57 8.58 12.59 12.56 18 149 37 3
12 3.48 8.28 12.06 12.24 21 150 37 3
11 999 999 999 999 18 154 39 3
11 3.56 8.41 12.07 11.67 18 148 36 3
11 3.58 8.86 13.66 13.96 25 146 33 3
11 3.99 8.89 11.86 12.56 13 149 38 3
11 3.81 8.99 11.17 10.68 23 145 41 3
11 3.73 9 13.72 12.79 22 156 42 3
11 3.73 8.72 11.36 10.8 22 148 39 2
11 999 8.99 12.16 11.44 8 158 54.5 3
11 4.04 9.38 12.33 9.48 999 159 57 3
11 3.86 8.7 11.1 9.69 23 147 42 3
11 3.79 8.28 11.66 11.68 21 143 37 3
11 3.42 8.8 12.51 12.23 20 153 38 3
11 3.56 8.26 13.19 13.13 21 152 39 3
12 3.54 8.59 11.28 12.85 19 147 36 3
12 3.5 8.32 11.1 11.59 20 147 36 3
11 3.69 8.28 12.4 11.96 22 138 30 3
11 3.68 9.18 12.33 12.31 15 153 48 3
11 3.82 8.76 11.63 12.52 12 138 39 3
11 3.96 8.66 11.68 10.94 15 167 55 3
11 999 999 999 999 13 147 39 3
11 3.78 8.62 11.98 9.16 12 162 55 3
11 3.49 7.63 13.23 10.59 21 141 30 3
11 3.78 8.48 11.84 14.31 13 149 38 3
11 3.64 8.17 11.33 9.51 19 154 48 3
11 999 999 999 999 22 150 38 3
12 3.62 8.3 11.18 10.15 23 152 42 3
12 3.82 7.91 12.39 10.31 15 141 35 3
11 3.38 7.66 9.89 10.75 15 155 38 3
12 3.58 8.21 11.38 10.87 21 144 34 3
11 3.59 8.14 11.41 12.79 21 147 36 3
11 3.7 9.52 13.5 999 22 161 45 3
11 3.52 8.61 11.4 999 23 150 35 3
12 3.69 9.2 11.9 999 23 165 49 2
11 3.66 9.36 12.9 999 999 150 33 3
12 3.83 8.79 11.97 12.69 22 148 41 3
11 3.69 8.48 11.14 10.84 22 154 40 3
12 3.84 8.53 12.68 14.5 21 150 41 3
11 3.7 8.69 11.79 8.48 19 145 33 3
11 3.58 8.19 9.93 7.66 19 142 35 3
12 3.72 8.3 11.61 10.74 21 146 33 3
11 3.73 8.64 11.24 10.3 999 139 30 3
