"","fitness","mat","knockouts"
"1",1.162795652,"alpha","one"
"2",1.169933327,"alpha","one"
"3",1.386235482,"alpha","one"
"4",1.329548684,"alpha","one"
"5",1.289864057,"alpha","one"
"6",1.407535386,"alpha","two"
"7",1.393166276,"alpha","two"
"8",1.678866688,"alpha","two"
"9",1.313198079,"alpha","two"
"10",1.51007819,"alpha","two"
"11",1.190241912,"a","one"
"12",1.132238238,"a","one"
"13",1.079142439,"a","one"
"14",1.144024912,"a","one"
"15",1.137793387,"a","one"
"16",1.238463867,"a","two"
"17",1.239231664,"a","two"
"18",1.225733039,"a","two"
"19",1.336022882,"a","two"
"20",1.214945337,"a","two"
